,Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
85,4.77777777777778,1.23716125903698,0.21845063384118898,0.315073029578638,4.62620970701878,8.344681398513
86,4.83333333333333,1.23621625978155,0.21828377144970898,0.31483236266785,4.62267600056242,8.350261110117659
87,4.888888888888889,1.2352890131666698,0.21812004371472898,0.31459621689624395,4.61920867788381,8.355736001941839
88,4.94444444444444,1.23437902243193,0.21795936292122603,0.314364465751768,4.61580588140954,8.36110900708821
89,5.0,1.2334858098212802,0.21780164470985602,0.31413698756229197,4.61246582463065,8.36638294644893
90,5.05555555555556,1.2326089154293403,0.21764680787324103,0.31391366520179,4.609186787788519,8.371560535517549
91,5.111111111111111,1.23174789620326,0.217494774179726,0.313694385836143,4.605967114142519,8.37664439028243
92,5.16666666666667,1.23090232506139,0.21734546821775,0.313479040698677,4.60280520667415,8.38163703243084
93,5.22222222222222,1.23007179010186,0.217198817256114,0.313267524888626,4.5996995251280195,8.38654089402131
94,5.27777777777778,1.2292558938826499,0.21705475111685102,0.313059737187766,4.59664858331937,8.39135832173499
95,5.33333333333333,1.22845425275945,0.216913202058313,0.312855579891797,4.59365094665833,8.39609158078486
96,5.388888888888889,1.22766649627182,0.21677410466678199,0.312654958654012,4.5907052298544695,8.40074285854027
97,5.44444444444444,1.2268922665703201,0.21663739575531502,0.31245778233939697,4.587810094774549,8.40531426790943
98,5.5,1.22606659449841,0.216491603453677,0.31224750498126397,4.5847225973881205,8.41018941676777
99,5.55555555555556,1.2250152939299799,0.21630597100369897,0.31197976587071996,4.58079139047459,8.41639678036933
100,5.611111111111111,1.2239973568404,0.21612622967992,0.311720523576807,4.576984942115059,8.42240715059858
101,5.66666666666667,1.2228092206678898,0.215916435606529,0.311417935970955,4.572542055584,8.42942245473935
102,5.72222222222222,1.22147930451031,0.215681606860108,0.311079240663617,4.56756900054142,8.43727489332598
103,5.77777777777778,1.22019812135829,0.21545538310020604,0.310752956394528,4.5627781764746,8.44483958976346
104,5.83333333333333,1.2189522593284599,0.215235396135607,0.310435667503279,4.55811943132404,8.45219573399921
105,5.888888888888889,1.21773545715801,0.215020540389478,0.31012577940790004,4.5535693518810305,8.45938029541761
106,5.94444444444444,1.21654441336684,0.21481023290594395,0.309822451306649,4.54911559267386,8.46641276748046
107,6.0,1.21537715338302,0.214604125026747,0.30952518032703896,4.544750770037889,8.47330480897145
108,6.05555555555556,1.21423234670393,0.214401981819589,0.309233627624407,4.54046990872511,8.48006427579188
109,6.111111111111111,1.21310900071148,0.214203628013826,0.30894754040455696,4.53626929696441,8.486697028816861
110,6.16666666666667,1.2120063138318,0.214008922072273,0.30866671452731703,4.53214593737058,8.49320780090844
111,6.22222222222222,1.2109236005419,0.21381774294932399,0.30839097540767896,4.52809726651615,8.49960063971068
112,6.27777777777778,1.20986025080423,0.213629982928154,0.30812016768483697,4.52412100324214,8.50587914716658
113,6.33333333333333,1.2088157069563898,0.21344554354002399,0.307854149336572,4.5202150622397195,8.512046615972361
114,6.388888888888889,1.20778944991404,0.21326433312808302,0.307592788165505,4.51637750245795,8.518106111041451
115,6.44444444444444,1.2067809905741003,0.21308626532940197,0.307335959609714,4.51260649495715,8.52406052026398
116,6.5,1.2057898642404299,0.21291125809067202,0.307083545323085,4.50890030206417,8.529912587420519
117,6.55555555555556,1.20481562686921,0.21273923300526001,0.306835432219125,4.505257263332759,8.53566493435055
118,6.611111111111111,1.20385785244518,0.21257011484990398,0.306591511802746,4.501675785732151,8.54132007644478
119,6.66666666666667,1.20291613108041,0.21240383124901197,0.306351679686075,4.49815433653771,8.54688043387064
120,6.72222222222222,1.20199006758695,0.212240312422629,0.306115835224946,4.494691437993589,8.5523483400001
121,6.77777777777778,1.2010792803677701,0.21207949099060502,0.30588388123644894,4.49128566316544,8.55772604795807
122,6.83333333333333,1.20018340052644,0.211921301815382,0.305655723772186,4.48793563261121,8.56301573587931
123,6.888888888888889,1.19930207113052,0.21176568187193803,0.30543127193068,4.4846400116266905,8.56821951125765
124,6.94444444444444,1.1984349465854298,0.211612570137222,0.305210437697917,4.48139750790425,8.573339414642861
125,7.0,1.19758169208957,0.21146190749394503,0.30499313580857396,4.4782068694951995,8.57837742285807
126,7.05555555555556,1.1967419831505,0.211313636645142,0.30477928362280104,4.4750668830006,8.58333545185646
127,7.111111111111111,1.19591550514808,0.211167702037051,0.304568801014978,4.4719763719379,8.58821535930035
128,7.16666666666667,1.19510195293485,0.21102404978853098,0.304361610271919,4.46893419524628,8.59301894692126
129,7.22222222222222,1.19430103046619,0.21088262762576895,0.30415763599870504,4.46593924590395,8.597747962703169
130,7.27777777777778,1.1935124504553,0.210743384821362,0.30395680503081,4.462990449637919,8.60240410291984
131,7.33333333333333,1.19273593404908,0.210606272137071,0.303759046351544,4.46008676371186,8.60698901404871
132,7.388888888888889,1.1919712105219098,0.21047124176976603,0.30356429101408505,4.457227175781241,8.61150429457869
133,7.44444444444444,1.19121801698532,0.210338247300151,0.303372472067525,4.454410702807491,8.615951496724641
134,7.5,1.19047609811164,0.210207243643975,0.303183524486502,4.45163639002479,8.62033212805884
135,7.55555555555556,1.18974520587048,0.210078187005493,0.302997385104076,4.44890330995446,8.624647653067269
136,7.611111111111111,1.18902509927671,0.209951034832975,0.30281399254756,4.4462105614628396,8.62889949463722
137,7.66666666666667,1.18831554414934,0.20982574577612198,0.30263328717709803,4.443557268859349,8.633089035481401
138,7.72222222222222,1.18741906286623,0.209667450401859,0.302404976541143,4.4402049892888495,8.6383822745924
139,7.77777777777778,1.18649653629165,0.209504556103739,0.302170032841931,4.43675531661026,8.643829297120941
140,7.83333333333333,1.18541388863304,0.20931338856957898,0.30189431043689197,4.43270689117588,8.650221748405679
141,7.888888888888889,1.1842120793931699,0.20910118018664603,0.301588240653817,4.42821287592049,8.6573177846446
142,7.94444444444444,1.1830346289138702,0.20889327292989998,0.30128837441812395,4.42380994720195,8.66426999552254
143,8.0,1.18187910052817,0.208689236547064,0.30099409117365,4.4194889934090495,8.671092768245519
144,8.055555555555559,1.18074400432448,0.208488807958345,0.300705011478382,4.415244443203839,8.67779489993898
145,8.11111111111111,1.17962832052943,0.208291807098179,0.300420875622373,4.41107248327145,8.68438241181539
146,8.16666666666667,1.17853128068254,0.208098098276349,0.30014148789858003,4.40697024005005,8.69085984121997
147,8.22222222222222,1.17745226042569,0.207907571247383,0.29986668929911,4.4029353788306,8.69723087465114
148,8.27777777777778,1.17639072371171,0.20772013135923498,0.29959634330658896,4.39896589513177,8.70349867717872
149,8.33333333333333,1.17534619214049,0.20753569413883702,0.29933032808486,4.39506000003621,8.7096660734977
150,8.38888888888889,1.17431822726159,0.20735418216719895,0.299068531971922,4.3912160540134195,8.71573565242169
151,8.444444444444441,1.1733064199045,0.20717552319540603,0.298810850762605,4.3874325270214305,8.721709829882231
152,8.5,1.17231038348705,0.20699964896306,0.298557186004414,4.38370797348461,8.7275908884388
153,8.555555555555559,1.17132974966374,0.20682649442988701,0.29830744388926,4.38004101602107,8.733381002973161
154,8.61111111111111,1.17036416539735,0.20665599725865805,0.29806153450767997,4.3764303344923,8.73908225797995
155,8.66666666666667,1.1694132909223,0.206488097455573,0.29781937133015396,4.37287465838745,8.74469665959187
156,8.72222222222222,1.16847679828176,0.20632273711194798,0.297580870834539,4.36937276135293,8.75022614421748
157,8.77777777777778,1.1675543702425801,0.20615986021262697,0.29734595222975,4.36592345713515,8.75567258494754
158,8.83333333333333,1.16664569946483,0.205999412489339,0.29711453724423803,4.362525596474851,8.761037796458861
159,8.888888888888891,1.16575048784607,0.205841341304914,0.296886549959011,4.3591780646553095,8.76632353888574
160,8.94444444444444,1.16486844598822,0.205685595559148,0.296661916671847,4.3558797795085695,8.77153152096801
161,9.0,1.16399929275186,0.205532125610101,0.2964405657838,4.35262968974902,8.77666340268244
162,9.05555555555556,1.16314275487431,0.20538088320666198,0.296222427701915,4.34942677354501,8.78172079749805
163,9.111111111111109,1.16229856663488,0.20523182142943602,0.296007434753994,4.34627003726726,8.78670527435243
164,9.16666666666667,1.1614664695559298,0.205084894637973,0.29579552111246,4.34315851437104,8.79161835941668
165,9.222222222222221,1.16064621213167,0.20494005842285998,0.29558662272527897,4.34009126438189,8.79646153769712
166,9.277777777777779,1.15983754957865,0.204797269561683,0.29538067725242795,4.337067371962741,8.80123625450814
167,9.33333333333333,1.15904024360396,0.204656485978085,0.29517762400685305,4.3340859460470496,8.805943916841061
168,9.388888888888891,1.15825406218787,0.20451766670339103,0.294977403899121,4.33114611902609,8.81058589464741
169,9.44444444444444,1.15747877937869,0.204380771840385,0.294779959385171,4.3282470459818105,8.81516352205017
170,9.5,1.1567141750981298,0.204245762528941,0.294585234416742,4.32538790395893,8.819678098493199
171,9.55555555555556,1.15596003495573,0.20411260091326003,0.294393174394125,4.32256789127123,8.82413088983656
172,9.611111111111109,1.15521615007155,0.20398125011055301,0.29420372612098905,4.31978622683829,8.828523129403841
173,9.66666666666667,1.1544823169061,0.20385167418101502,0.29401683776107895,4.31704214954961,8.83285601898616
174,9.722222222222221,1.153758337097,0.203723838098992,0.293832458796622,4.31433491765394,8.837130729806471
175,9.777777777777779,1.1530440173018701,0.20359770772522603,0.29365053998830604,4.31166380817164,8.84134840344738
176,9.83333333333333,1.15233916904698,0.20347324978013698,0.293471033336736,4.30902811632878,8.84551015274477
177,9.888888888888891,1.15164360858128,0.203350431818052,0.293293892045268,4.30642715501133,8.849617062649571
178,9.94444444444444,1.1509571567356398,0.203229222202341,0.29311907048414504,4.30386025423869,8.85367019105907
179,10.0,1.1500762683590702,0.20307368013149102,0.29289473095888,4.30056628239085,8.85887136245569
180,10.0555555555556,1.14921518075357,0.20292163436393998,0.29267543417875896,4.297346353048529,8.863955620964251
